,image_id,text,word_idx
2,a01/a01-000u/a01-000u-00-02.png,to,2
3,a01/a01-000u/a01-000u-00-03.png,stop,3
5,a01/a01-000u/a01-000u-00-05.png,Gaitskell,5
6,a01/a01-000u/a01-000u-00-06.png,from,6
8,a01/a01-000u/a01-000u-01-01.png,any,8
9,a01/a01-000u/a01-000u-01-02.png,more,9
10,a01/a01-000u/a01-000u-01-03.png,Labour,10
11,a01/a01-000u/a01-000u-01-04.png,life,11
12,a01/a01-000u/a01-000u-01-05.png,Peers,12
14,a01/a01-000u/a01-000u-02-01.png,to,14
15,a01/a01-000u/a01-000u-02-02.png,be,15
16,a01/a01-000u/a01-000u-02-03.png,made,16
17,a01/a01-000u/a01-000u-02-04.png,at,17
18,a01/a01-000u/a01-000u-02-05.png,a,18
19,a01/a01-000u/a01-000u-02-06.png,meeting,19
20,a01/a01-000u/a01-000u-02-07.png,of,20
21,a01/a01-000u/a01-000u-02-08.png,Labour,21
22,a01/a01-000u/a01-000u-03-00.png,Ps,22
24,a01/a01-000u/a01-000u-03-03.png,Mr.,24
25,a01/a01-000u/a01-000u-03-04.png,Michael,25
26,a01/a01-000u/a01-000u-03-05.png,Foot,26
27,a01/a01-000u/a01-000u-03-06.png,has,27
28,a01/a01-000u/a01-000u-04-00.png,put,28
29,a01/a01-000u/a01-000u-04-01.png,down,29
31,a01/a01-000u/a01-000u-04-03.png,resolution,31
32,a01/a01-000u/a01-000u-04-04.png,on,32
33,a01/a01-000u/a01-000u-04-05.png,the,33
35,a01/a01-000u/a01-000u-05-00.png,and,35
36,a01/a01-000u/a01-000u-05-01.png,he,36
37,a01/a01-000u/a01-000u-05-02.png,is,37
38,a01/a01-000u/a01-000u-05-03.png,to,38
39,a01/a01-000u/a01-000u-05-04.png,be,39
41,a01/a01-000u/a01-000u-05-06.png,by,41
42,a01/a01-000u/a01-000u-05-07.png,Mr.,42
44,a01/a01-000u/a01-000u-06-00.png,Griffiths,44
45,a01/a01-000u/a01-000u-06-01.png,",",45
46,a01/a01-000u/a01-000u-06-02.png,P,46
47,a01/a01-000u/a01-000u-06-03.png,for,47
48,a01/a01-000u/a01-000u-06-04.png,Manchester,48
50,a01/a01-000x/a01-000x-00-00.png,A,50
51,a01/a01-000x/a01-000x-00-01.png,MOVE,51
53,a01/a01-000x/a01-000x-00-03.png,stop,53
54,a01/a01-000x/a01-000x-00-04.png,Mr.,54
55,a01/a01-000x/a01-000x-00-05.png,Gaitskell,55
56,a01/a01-000x/a01-000x-00-06.png,from,56
57,a01/a01-000x/a01-000x-00-07.png,nominating,57
58,a01/a01-000x/a01-000x-01-00.png,any,58
59,a01/a01-000x/a01-000x-01-01.png,more,59
60,a01/a01-000x/a01-000x-01-02.png,Labour,60
62,a01/a01-000x/a01-000x-01-04.png,Peers,62
63,a01/a01-000x/a01-000x-01-05.png,is,63
64,a01/a01-000x/a01-000x-01-06.png,to,64
65,a01/a01-000x/a01-000x-01-07.png,be,65
66,a01/a01-000x/a01-000x-01-08.png,made,66
67,a01/a01-000x/a01-000x-01-09.png,at,67
68,a01/a01-000x/a01-000x-01-10.png,a,68
71,a01/a01-000x/a01-000x-02-02.png,Labour,71
72,a01/a01-000x/a01-000x-02-03.png,Ps,72
73,a01/a01-000x/a01-000x-02-04.png,tomorrow,73
74,a01/a01-000x/a01-000x-02-06.png,Mr.,74
76,a01/a01-000x/a01-000x-03-00.png,Foot,76
77,a01/a01-000x/a01-000x-03-01.png,has,77
78,a01/a01-000x/a01-000x-03-02.png,put,78
79,a01/a01-000x/a01-000x-03-03.png,down,79
80,a01/a01-000x/a01-000x-03-04.png,a,80
81,a01/a01-000x/a01-000x-03-05.png,resolution,81
82,a01/a01-000x/a01-000x-03-06.png,on,82
84,a01/a01-000x/a01-000x-03-08.png,subject,84
85,a01/a01-000x/a01-000x-04-00.png,and,85
87,a01/a01-000x/a01-000x-04-02.png,is,87
88,a01/a01-000x/a01-000x-04-03.png,to,88
89,a01/a01-000x/a01-000x-04-04.png,be,89
90,a01/a01-000x/a01-000x-04-05.png,backed,90
91,a01/a01-000x/a01-000x-04-06.png,by,91
92,a01/a01-000x/a01-000x-04-07.png,Mr.,92
93,a01/a01-000x/a01-000x-04-08.png,Will,93
94,a01/a01-000x/a01-000x-04-09.png,Griffiths,94
95,a01/a01-000x/a01-000x-04-10.png,",",95
97,a01/a01-000x/a01-000x-05-01.png,for,97
99,a01/a01-000x/a01-000x-05-03.png,Exchange,99
100,a01/a01-003/a01-003-00-00.png,Though,100
101,a01/a01-003/a01-003-00-01.png,they,101
102,a01/a01-003/a01-003-00-02.png,may,102
104,a01/a01-003/a01-003-00-04.png,some,104
105,a01/a01-003/a01-003-00-05.png,Left-wing,105
106,a01/a01-003/a01-003-00-06.png,support,106
107,a01/a01-003/a01-003-00-07.png,",",107
111,a01/a01-003/a01-003-01-02.png,of,111
112,a01/a01-003/a01-003-01-03.png,Labour,112
113,a01/a01-003/a01-003-01-04.png,Ps,113
114,a01/a01-003/a01-003-01-05.png,are,114
115,a01/a01-003/a01-003-01-06.png,likely,115
117,a01/a01-003/a01-003-02-00.png,turn,117
118,a01/a01-003/a01-003-02-01.png,down,118
119,a01/a01-003/a01-003-02-02.png,the,119
120,a01/a01-003/a01-003-02-03.png,Foot-Griffiths,120
121,a01/a01-003/a01-003-02-04.png,resolution,121
122,a01/a01-003/a01-003-02-06.png,Mr.,122
123,a01/a01-003/a01-003-03-00.png,Foot's,123
124,a01/a01-003/a01-003-03-01.png,line,124
125,a01/a01-003/a01-003-03-02.png,will,125
126,a01/a01-003/a01-003-03-03.png,be,126
127,a01/a01-003/a01-003-03-04.png,that,127
129,a01/a01-003/a01-003-03-06.png,Labour,129
130,a01/a01-003/a01-003-03-07.png,Ps,130
131,a01/a01-003/a01-003-04-00.png,opposed,131
