id,image_id,text
0,a01-000u-00-00,A
1,a01-000u-00-01,MOVE
2,a01-000u-00-02,to
4,a01-000u-00-04,Mr.
5,a01-000u-00-05,Gaitskell
6,a01-000u-00-06,from
7,a01-000u-01-00,nominating
8,a01-000u-01-01,any
9,a01-000u-01-02,more
10,a01-000u-01-03,Labour
11,a01-000u-01-04,life
12,a01-000u-01-05,Peers
13,a01-000u-02-00,is
14,a01-000u-02-01,to
15,a01-000u-02-02,be
16,a01-000u-02-03,made
17,a01-000u-02-04,at
18,a01-000u-02-05,a
19,a01-000u-02-06,meeting
20,a01-000u-02-07,of
21,a01-000u-02-08,Labour
22,a01-000u-03-00,Ps
26,a01-000u-03-04,Michael
27,a01-000u-03-05,Foot
28,a01-000u-03-06,has
29,a01-000u-04-00,put
30,a01-000u-04-01,down
31,a01-000u-04-02,a
32,a01-000u-04-03,resolution
33,a01-000u-04-04,on
34,a01-000u-04-05,the
35,a01-000u-04-06,subject
37,a01-000u-05-01,he
38,a01-000u-05-02,is
39,a01-000u-05-03,to
41,a01-000u-05-05,backed
42,a01-000u-05-06,by
43,a01-000u-05-07,Mr.
44,a01-000u-05-08,Will
46,a01-000u-06-01,","
47,a01-000u-06-02,P
48,a01-000u-06-03,for
49,a01-000u-06-04,Manchester
50,a01-000u-06-05,Exchange
52,a01-000x-00-00,A
53,a01-000x-00-01,MOVE
54,a01-000x-00-02,to
56,a01-000x-00-04,Mr.
57,a01-000x-00-05,Gaitskell
58,a01-000x-00-06,from
59,a01-000x-00-07,nominating
60,a01-000x-01-00,any
61,a01-000x-01-01,more
62,a01-000x-01-02,Labour
64,a01-000x-01-04,Peers
65,a01-000x-01-05,is
66,a01-000x-01-06,to
67,a01-000x-01-07,be
68,a01-000x-01-08,made
69,a01-000x-01-09,at
70,a01-000x-01-10,a
71,a01-000x-02-00,meeting
73,a01-000x-02-02,Labour
74,a01-000x-02-03,Ps
75,a01-000x-02-04,tomorrow
77,a01-000x-02-06,Mr.
78,a01-000x-02-07,Michael
79,a01-000x-03-00,Foot
80,a01-000x-03-01,has
81,a01-000x-03-02,put
82,a01-000x-03-03,down
83,a01-000x-03-04,a
84,a01-000x-03-05,resolution
85,a01-000x-03-06,on
