id,true_text,predicted_text,metrics
69349,Byron,B,0.8
109407,"""",,1.0
21738,the,the,0.0
45957,and,and,0.0
14776,slaughter,daughter,0.2222222222222222
55309,conductor,cond,0.5555555555555556
97250,that,that,0.0
38159,closing,cloud,0.5714285714285714
4186,cent.,cent,0.2
30524,an,an,0.0
42590,in,in,0.0
110256,...,1,1.0
100251,eyes,eyes,0.0
12923,preparations,prehand,0.5833333333333334
20821,those,those,0.0
72978,inspection,spection,0.2
44639,are,are,0.0
12141,It,H,1.0
100004,you,you,0.0
15043,There,here,0.2
2752,a,a,0.0
42944,the,,1.0
94436,people,people,0.0
35812,the,,1.0
12193,limited,limited,0.0
6607,where,,1.0
27256,little,little,0.0
97840,seen,seen,0.0
12412,tests,les,0.6
71995,number,number,0.0
22814,and,and,0.0
81053,of,of,0.0
5472,of,of,0.0
39039,fine,fire,0.25
71163,the,the,0.0
49924,",",I,1.0
33796,creature,creat,0.375
114389,crowd,c,0.8
23720,sense,see,0.4
61637,I,I,0.0
55667,a,,1.0
49854,a,C,1.0
47500,blunt,ant,0.6
33548,Baal-meon,---=--M--,0.8888888888888888
11900,as,as,0.0
17525,others,othes,0.16666666666666666
46270,largest,largest,0.0
18102,members,mebers,0.14285714285714285
26982,Then,,1.0
14804,It,,1.0
94422,or,,1.0
104611,of,of,0.0
36576,my,,1.0
49730,our,our,0.0
63189,well,well,0.0
1190,been,been,0.0
81734,So,So,0.0
100212,other,other,0.0
16598,consequences,oses,0.6666666666666666
8423,",",I,1.0
14085,by,by,0.0
27154,melodramatic,mebrace,0.6666666666666666
77727,over,over,0.0
6303,to,,1.0
43361,different,different,0.0
93172,to,to,0.0
19265,Now,OW,1.0
74508,Other,,1.0
92971,like,like,0.0
63974,painful,p,0.8571428571428571
85931,?,2,1.0
70227,again,again,0.0
44398,",",I,1.0
49711,",",I,1.0
47078,?,7,1.0
76411,the,the,0.0
48752,of,of,0.0
22503,only,only,0.0
32761,the,,1.0
17457,colours,,1.0
94453,",",S,1.0
92178,and,and,0.0
72152,considered,cidered,0.3
26802,on,on,0.0
96829,"""",,1.0
96173,Advertiser,idities,0.6
46147,theoretical,eth,0.8181818181818182
64590,on,on,0.0
25444,she,,1.0
57765,end,and,0.3333333333333333
37427,on,,1.0
108056,'ll,l,0.6666666666666666
86287,She,the,0.3333333333333333
68051,",",I,1.0
55872,that,,1.0
27263,which,which,0.0
61205,',I,1.0
99624,had,,1.0
36211,appear,app,0.5
55771,to,to,0.0
11203,Verwoerd,w,0.875
55706,new,new,0.0
45818,abandoned,ab,0.7777777777777778
39108,-,P:,2.0
75519,lack,l,0.75
43600,There,,1.0
81026,reduction,red,0.6666666666666666
31419,Irish,'m,1.0
90278,a,o,1.0
40999,machine,machine,0.0
10407,",",a,1.0
41840,lumber,umber,0.16666666666666666
68628,that,that,0.0
80497,In,,1.0
86172,had,had,0.0
17722,Cyprus,q,1.0
85266,Her,,1.0
69499,name,,1.0
53217,were,,1.0
111858,to,to,0.0
57168,be,be,0.0
73914,by,by,0.0
99467,from,from,0.0
106881,her,,1.0
63412,search,search,0.0
2930,and,and,0.0
82305,see,,1.0
77137,Research,Re,0.75
31103,on,on,0.0
62321,",",I,1.0
62382,happen,us,1.0
60803,best,best,0.0
66061,that,,1.0
24697,central,ental,0.2857142857142857
106382,Gavin,rav,0.6
9586,Gaitskell,G,0.8888888888888888
81697,'d,d,0.5
76380,introduced,induced,0.3
41670,very,very,0.0
67112,the,the,0.0
3454,the,the,0.0
111065,wasn't,was,0.5
79717,and,and,0.0
35785,added,ad,0.6
46477,the,the,0.0
69753,to,to,0.0
59018,to,to,0.0
17779,that,he,0.75
26283,power,paper,0.4
11471,findings,find,0.5
41709,only,only,0.0
95981,clips,c,0.8
32532,Fourth,fruit,0.6666666666666666
1903,a,a,0.0
81732,?,2,1.0
974,conference,ence,0.6
114242,",",I,1.0
99885,being,being,0.0
59955,Rome,None,0.5
2832,than,Re,1.0
77367,"""",,1.0
102035,his,his,0.0
42201,moulds,m,0.8333333333333334
44804,any,any,0.0
97401,sound,sound,0.0
77949,are,are,0.0
99244,the,the,0.0
31564,This,This,0.0
23070,the,the,0.0
110457,confine,c,0.8571428571428571
12470,Old,old,0.3333333333333333
92235,vain,Val,0.75
54856,we,W,1.0
3777,got,g,0.6666666666666666
655,action,ache,0.6666666666666666
85950,It,,1.0
17066,suit,I,1.0
38185,at,,1.0
35321,that,that,0.0
64706,on,,1.0
55658,gladly,andy,0.6666666666666666
55401,in,'m,1.0
12028,of,,1.0
95114,most,most,0.0
102650,D.S.C.,D...5,0.5
33420,codex,codes,0.2
25557,shyly,style,0.4
73752,residual,resid,0.375
103475,to,to,0.0
16874,about,all,0.8
81520,and,and,0.0
50640,refined,ref,0.5714285714285714
102063,minds,mind,0.2
86964,fury,my,0.75
98629,Alastair,Ardar,0.625
39757,the,the,0.0
67222,like,,1.0
114075,sporting,porting,0.125
107252,always,always,0.0
11364,to,,1.0
59759,have,have,0.0
38218,and,and,0.0
48983,her,her,0.0
75796,less,less,0.0
61209,writing,witing,0.14285714285714285
26174,in,,1.0
72021,structurally,quickally,0.5833333333333334
52220,CUP,C,0.6666666666666666
78449,a,,1.0
80933,substantial,subential,0.2727272727272727
106006,according,acc,0.6666666666666666
39210,but,but,0.0
2483,of,of,0.0
7261,join,,1.0
79601,aluminium,lim,0.6666666666666666
41503,secured,sec,0.5714285714285714
87543,The,The,0.0
59301,this,This,0.25
12111,double,d,0.8333333333333334
18544,to,TO,1.0
64626,",",I,1.0
26848,series,ren,0.6666666666666666
55996,clearly,clear,0.2857142857142857
85093,the,the,0.0
93213,and,and,0.0
50136,first,first,0.0
41175,the,the,0.0
82361,",",,1.0
46016,inevitably,inality,0.5
18686,in,L,1.0
60616,ever,L,1.0
102608,darling,dines,0.7142857142857143
1825,resume,asure,0.5
15776,We,he,0.5
15562,",",,1.0
90021,But,But,0.0
63975,malady,,1.0
46093,not,not,0.0
88717,",",,1.0
65456,",",,1.0
12706,to,to,0.0
115130,his,his,0.0
89728,with,with,0.0
60702,the,the,0.0
68884,very,7,1.0
1051,blown,blown,0.0
40037,legs,ags,0.5
96885,Waving,War,0.6666666666666666
69755,colour,ctors,0.6666666666666666
26003,and,and,0.0
99977,annoyance,ounce,0.5555555555555556
17748,the,the,0.0
85563,her,her,0.0
42072,a,,1.0
45656,"""",,1.0
106836,a,,1.0
28576,whom,wh,0.5
24897,taken,icken,0.4
33857,action,action,0.0
105997,a,a,0.0
19375,Yanks,aks,0.4
62401,!,I,1.0
9150,to,to,0.0
81416,very,very,0.0
63715,first,first,0.0
95475,it,it,0.0
39826,that,that,0.0
22430,The,,1.0
18134,the,the,0.0
107235,pretend,pre,0.5714285714285714
54306,made,made,0.0
62006,will,will,0.0
90782,the,The,0.3333333333333333
5528,it,it,0.0
105884,the,the,0.0
46374,further,urther,0.14285714285714285
59808,",",,1.0
84766,the,the,0.0
2169,to,to,0.0
42105,I,I,0.0
52043,in,in,0.0
17942,weather,weather,0.0
68747,",",I,1.0
63660,understand,endond,0.6
61203,English,English,0.0
54114,fact,fact,0.0
20521,Ben,,1.0
31522,I,,1.0
61200,one,one,0.0
43028,where,,1.0
9136,of,of,0.0
99316,was,was,0.0
40160,the,the,0.0
20885,Germany's,n,0.8888888888888888
41512,as,,1.0
114201,muffled,,1.0
91740,expressionless,epess,0.6428571428571429
5021,up,up,0.0
20611,"""",1,1.0
7673,Conservative,Conservative,0.0
65854,adding,edd,0.6666666666666666
17051,over,over,0.0
25993,in,,1.0
