id,true_text,predicted_text,metrics
23594,that,ghart,0.5
100684,lady-love,lady-love,0.0
13651,of,of,0.0
11613,United,linni keen,1.1666666666666667
83405,must,mcest,0.5
69317,...,ult .,1.3333333333333333
31650,Hotel,hoach,0.8
22797,Bernhard,bernhard,0.125
4165,Mr.,"phip ,",2.0
99801,air,air,0.0
67777,master,master .,0.3333333333333333
76267,a,ol,2.0
88360,remarked,remarked,0.0
19441,Britishers,briefishers .,0.5
113640,curling,cushing,0.2857142857142857
56590,children,children .,0.25
26548,altogether,altogether .,0.2
72964,secure,secure,0.0
99988,doesn't,duesant I,0.7142857142857143
79219,of,of,0.0
2749,discussions,didious discussions,0.7272727272727273
105620,we,we,0.0
43122,the,the,0.0
69854,inventory,inventory,0.0
54103,an,01m.,2.0
6603,at,art .,1.5
9136,of,of,0.0
79602,counting,counting,0.0
46354,energetic,energetic,0.0
8878,and,ound,0.6666666666666666
88964,material,material,0.0
112581,as,"ce ,",2.0
5471,conference,conference,0.0
76068,to,to,0.0
11526,war,cejong,2.0
106190,sir,joy-,1.3333333333333333
103071,a,01,2.0
99874,ineffective,in effective,0.09090909090909091
62213,...,' 50,1.3333333333333333
83568,the,ehc,0.6666666666666666
80417,but,0mt.,1.0
57985,the,the,0.0
112709,?,l,1.0
29544,Lisbon,lisbon .,0.5
47182,!,l,1.0
37756,-,0,1.0
44002,cover,cove,0.2
99617,project,privileged .,1.2857142857142858
72017,forming,forming,0.0
33737,as,ofs,1.0
45643,from,from,0.0
106485,second,second,0.0
57258,The,the,0.3333333333333333
69753,to,x.,1.0
27902,Mr.,Mr. Phil,1.6666666666666667
1190,been,been,0.0
89696,After,after,0.2
26287,the,the,0.0
63767,in,jin,0.5
104091,knew,knew,0.0
75247,according,according,0.0
64411,Anglesey,anglesey,0.125
38011,of,of,0.0
6291,non-violence,"non-violence ,",0.16666666666666666
97687,us,ups,0.5
60121,winter,winter,0.0
66702,being,luxing,0.6
86814,mother,mother,0.0
63452,God,good,0.6666666666666666
17652,to,to,0.0
20508,and,of n d,1.3333333333333333
45347,of,o f,0.5
105795,Maffrey's,maffrey's,0.1111111111111111
54019,with,with,0.0
75129,all,all,0.0
90611,better,better .,0.3333333333333333
47605,at,3rd,1.5
30552,My,mg.,1.5
37277,ignorance,ignorance,0.0
68807,Melbourne's,17 El Bonne's,0.7272727272727273
28982,a,il,2.0
82775,Do,do,0.5
72152,considered,considered,0.0
32488,and,and,0.0
74830,they,they,0.0
39095,may,may,0.0
61700,may,may,0.0
63528,ever,even,0.25
38728,follows,follows,0.0
60862,Italian,total sign,0.7142857142857143
80976,were,were,0.0
84102,fellow,fellow .,0.3333333333333333
13038,MR.,myr.,1.0
52257,the,the,0.0
14777,of,of,0.0
24853,",",i,1.0
38848,',ll,2.0
23636,the,tho,0.3333333333333333
111633,they,they,0.0
9125,his,hig,0.3333333333333333
65681,treated,treated,0.0
102386,modern,modern,0.0
13535,who,usho,0.6666666666666666
21792,to,to,0.0
28992,as,quads .,2.5
71623,again,afara,0.6
95478,"""",l ),3.0
63959,new,down,1.0
60141,",",1,1.0
38668,the,the,0.0
16669,is,ups,1.0
44533,year,year .,0.5
32621,the,the,0.0
14249,occupation,occupation,0.0
80683,almost,alpine sk,1.0
14824,programmes,programmes,0.0
20820,for,for,0.0
54612,could,coceld,0.4
23783,(,l.,2.0
58478,What,upperly,1.75
81296,little,little .,0.3333333333333333
59265,sent,sent,0.0
94583,',ll,2.0
43576,this,this,0.0
79965,in,tu,1.0
2928,too,too,0.0
42048,way,way,0.0
52833,con-,coat-,0.5
12118,unaligned,was delighted,0.8888888888888888
7760,and,and,0.0
90000,Public,public,0.16666666666666666
69941,preserved,proseized,0.3333333333333333
21032,stronger,stronger .,0.25
27535,",",0,1.0
93766,He,fle,1.0
26134,Here,here,0.25
108031,been,been,0.0
110360,was,lucky,1.6666666666666667
107080,cad,cad,0.0
92692,Now,now .,1.0
3453,undermining,unacles unining,0.6363636363636364
38215,further,feerther,0.2857142857142857
83800,his,his,0.0
109384,wishes,wishes .,0.3333333333333333
100319,I,j,1.0
22179,Loch,lod,0.75
59794,he,he,0.0
67542,Mauro's,mauro's,0.14285714285714285
