id,true_text,predicted_text,metrics
23594,that,thattat+,1.0
100684,lady-love,l-loveor,0.5555555555555556
13651,of,I1.s,2.0
11613,United,"lio,",0.8333333333333334
83405,must,most+tst,1.25
69317,...,"IT....,",1.3333333333333333
31650,Hotel,HOUd)t,1.0
22797,Bernhard,bad.board,0.75
4165,Mr.,"My.,",0.6666666666666666
99801,air,"as,s.",1.3333333333333333
67777,master,wtsts,0.6666666666666666
76267,a,"a2.,",3.0
88360,remarked,reedikedRed,0.75
19441,Britishers,Rhererter,0.8
113640,curling,"culturey,ing",0.8571428571428571
56590,children,childreninion.,0.75
26548,altogether,attherterhe,0.7
72964,secure,SERFI,1.0
99988,doesn't,doniti;,0.7142857142857143
79219,of,of.fF,1.5
2749,discussions,discusucis,0.36363636363636365
105620,we,wee.I,1.5
43122,the,the.het,1.3333333333333333
69854,inventory,inoryyor,0.5555555555555556
54103,an,on)m.,2.0
6603,at,"att,.",1.5
9136,of,"of.,s",1.5
79602,counting,"counting,ng",0.375
46354,energetic,energyicci,0.4444444444444444
8878,and,"and,.)",1.0
88964,material,materialialtalal,1.0
112581,as,as).S,1.5
5471,conference,conecec,0.4
76068,to,to2.),1.5
11526,war,wasYSF,1.3333333333333333
106190,sir,my.F,1.3333333333333333
103071,a,"a,.)",3.0
99874,ineffective,object.io's,0.8181818181818182
62213,...,I.25,1.0
83568,the,EFI2,1.3333333333333333
80417,but,but)t.,1.0
57985,the,thehe.s,1.3333333333333333
112709,?,L.2I,4.0
29544,Lisbon,Liononom,0.6666666666666666
47182,!,(1)2,4.0
37756,-,INK.SA,6.0
44002,cover,COEe),0.8
99617,project,"just,.ed",1.1428571428571428
72017,forming,"honingy,",0.7142857142857143
33737,as,d5Ss,1.5
45643,from,"fromm,.",0.75
106485,second,oooodO.,1.0
57258,The,"Thee,.",1.0
69753,to,to2)6,1.5
27902,Mr.,M-2.,0.6666666666666666
1190,been,beensm.,0.75
89696,After,Aftererters,1.2
26287,the,thee.s,1.0
63767,in,"in.,m",1.5
104091,knew,knoww.m,1.0
75247,according,"accying,",0.4444444444444444
64411,Anglesey,tyess,0.75
38011,of,"of.,)",1.5
6291,non-violence,"un-,uc",0.75
97687,us,usSs5,1.5
60121,winter,wtererir,0.8333333333333334
66702,being,"ly),",1.0
86814,mother,wterrer,0.8333333333333334
63452,God,"Good,).",1.3333333333333333
17652,to,to.2s,1.5
20508,and,"and,d.",1.0
45347,of,"of2.,",1.5
105795,Maffrey's,Majoryses,0.5555555555555556
54019,with,withthth,1.0
75129,all,alll.I,1.0
90611,better,betterertert,1.0
47605,at,I2.t,1.5
30552,My,"Uyg,",1.5
37277,ignorance,iquacceec,0.7777777777777778
68807,Melbourne's,"Theomes,s",0.8181818181818182
28982,a,Q2.),4.0
82775,Do,Do2)o,1.5
72152,considered,consceededced,0.5
32488,and,"and,.t",1.0
74830,they,"they,y)",0.75
39095,may,"may,)y",1.0
61700,may,"mayy,",0.6666666666666666
63528,ever,overerve.,1.5
38728,follows,follow.sus,0.42857142857142855
60862,Italian,Italian)inian,0.8571428571428571
80976,were,wereeve.,1.0
84102,fellow,"followou,ce",1.0
13038,MR.,MF.h,0.6666666666666666
52257,the,thes.e,1.0
14777,of,ofFt.,1.5
24853,",","I2.,",3.0
38848,',I1.2,4.0
23636,the,thee.he,1.3333333333333333
111633,they,"they,ys",0.75
9125,his,"his),'",1.0
65681,treated,neededatededad,1.2857142857142858
102386,modern,mer.en,0.6666666666666666
13535,who,"who.o,",1.0
21792,to,to26o,1.5
28992,as,as)s.,1.5
71623,again,afzaar,0.8
95478,"""",I12.,4.0
63959,new,mm.mW,1.6666666666666667
60141,",",I2.5,4.0
38668,the,"the,.e",1.0
16669,is,W2.5,2.0
44533,year,year.sas,1.0
32621,the,theehe.,1.3333333333333333
14249,occupation,"occ,ionor",0.6
80683,almost,"almost,!/",0.5
14824,programmes,pmeasm,0.7
20820,for,forors,1.0
54612,could,couldIell,0.8
23783,(,I.)2,4.0
58478,What,what.ts,1.0
81296,little,little.lee,0.6666666666666666
59265,sent,nexttetat,1.75
94583,',I1.2,4.0
43576,this,thiss.,0.5
79965,in,"I)u,",2.0
2928,too,too2.o,1.0
42048,way,"may,y.",1.3333333333333333
52833,con-,con-=2,0.5
12118,unaligned,medugged,0.6666666666666666
7760,and,"andd.,",1.0
90000,Public,Publiccici,0.6666666666666666
69941,preserved,passcetcil,0.7777777777777778
21032,stronger,teror,0.625
27535,",",I.S5,4.0
93766,He,theFe.,2.5
26134,Here,theeee.,1.25
108031,been,"been,.en",1.0
110360,was,"was,2.",1.0
107080,cad,"bad,.)",1.3333333333333333
92692,Now,NowwWm,1.0
3453,undermining,"uning,ug",0.6363636363636364
38215,further,fterhet,0.5714285714285714
83800,his,"his5s,",1.0
109384,wishes,"whatas,s",1.0
100319,I,"J,.y",4.0
22179,Loch,l2I),1.0
59794,he,bee.),2.0
67542,Mauro's,M'ss',0.7142857142857143
15469,That,Thattatet,1.25
72164,away,awayyay,0.75
41701,approximately,appylyately,0.38461538461538464
90256,drinks,drtirst,0.6666666666666666
16584,Chancellor,Chorleroror,0.6
1902,of,of.2t,1.5
31333,since,and2e.,1.0
974,conference,concece,0.4
102188,Pericles,Perfectlesases,0.875
32451,",",I1.2,4.0
42801,the,the.eE,1.0
2830,higher,lightlee.,0.8333333333333334
90447,pouring,"pying,",0.5714285714285714
91664,beyond,"be,).",0.6666666666666666
110091,leave,leaveeve.,0.8
32939,text,nexttF+,1.0
33803,Such,"Suchh,)",0.75
92222,garaged,ged.ad,0.7142857142857143
14972,will,willlillI,1.25
57135,as,"ass5,",1.5
38079,Monday,"Wantto,als",1.3333333333333333
106576,little,littleleilll,1.0
114487,the,"thee.,",1.0
49355,close,I.se,0.6
70127,was,warrer.,1.6666666666666667
3771,improve,improveveIi,0.5714285714285714
655,action,"ad,)'",0.8333333333333334
95924,complete,completeablelee,0.875
106881,her,"then,.m",1.6666666666666667
90979,good-sized,good------,0.5
42380,sufficient,suickitet,0.5
111067,there,theree.ve,0.8
106681,it,itf.t,1.5
63189,well,welll.I,0.75
70155,from,fromm).,0.75
45017,same,Junemeeue,1.75
97388,",",I.12,4.0
93424,friend,"friend.and,",0.8333333333333334
70003,as,"of).,",2.5
16648,truism,"fromin.,",1.0
62037,then,"theny,.",0.75
52592,knights,cuttstost,1.0
39197,were,wereeve.,1.0
18066,earn,"can.m,",1.25
93079,on,ouuao,2.0
63412,search,"such,t.",1.0
66043,a,a.)2,3.0
71994,The,"The,.y",1.0
71178,was,wasSs.,1.0
89157,something,somethingyorying,0.7777777777777778
61936,a,a2.),3.0
106782,her,"I,)u",1.3333333333333333
63011,",","i2.,",3.0
69204,answer,"ass,i)",0.6666666666666666
11034,because,becauseaseeee,0.8571428571428571
78817,of,ofFf,1.0
105017,about,what-A+,1.2
46577,these,thoseeeees,1.2
39824,is,isS.s,1.5
7476,a,"a.,)",3.0
60935,that,thattatet,1.25
29361,not,"not,t.",1.0
59807,Arthur,Arttwter,0.6666666666666666
41475,safety,"theyy,s",1.0
2477,cash,"each,.)",1.25
46991,approach,appyochah,0.5
49906,in,in2.m,1.5
68192,character,chateterer,0.5555555555555556
71857,period,"period.,or",0.6666666666666666
74674,However,Howeverveerv,0.7142857142857143
54275,"1,000,000","10000000000,0000000",1.2222222222222223
30605,covered,"ced.,",0.7142857142857143
104249,surviving,"springingi,",0.6666666666666666
84750,and,"andd.,",1.0
25796,unborn,whenomon,1.0
34514,your,yourTt.,0.75
77058,upper,upony.a,1.0
11097,Verwoerd,"Wetor,",0.625
92969,their,theirrers,0.8
52448,and,"andd,.",1.0
90514,moments,"momsts,",0.42857142857142855
110837,Inspector,importantorororory,1.6666666666666667
29402,who,"who,oio",1.3333333333333333
63420,malady,nyayas,0.8333333333333334
1816,the,theF.e,1.0
9298,for,for)s.,1.0
19375,Yanks,"yass,",0.8
76667,and,"and,.)",1.0
11292,the,"we,.2",1.6666666666666667
37191,which,which.hth,0.8
90992,calling,"callinging,.",0.7142857142857143
91820,",","L.,I",3.0
82229,",",I.12,4.0
11454,Medical,medicalicalIcil,1.2857142857142858
6825,for,for)s.,1.0
67338,medicine,midineinc,0.5
72223,The,"Thee,.",1.0
1051,blown,blowwmu,0.6
79328,pestle,pleete,0.5
14875,value,valueeueve,1.0
81520,and,"and,d.",1.0
102164,You,You)y.,1.0
38456,the,theFe.,1.0
9786,added,addded.,0.4
96599,his,"his,.s",1.0
94061,and,"and,.)",1.0
39452,be,"bes.,",1.5
15723,Madagascar,"ad)))))as)),",0.9
55586,little,littleleete,0.8333333333333334
76414,the,"thee,.",1.0
83600,pay,()ys,1.0
105997,a,a2.),3.0
10295,the,thes.he,1.3333333333333333
21073,through,"though,yah",0.7142857142857143
49478,to,tos.2,1.5
44431,Lincs,"LES,s",0.6
96056,mind,"und.,t",1.25
85841,erupted,"excepted.,",0.7142857142857143
73182,on,On)mo,2.0
110424,touched,tlededd,0.7142857142857143
101065,",",I.12,4.0
