id,true_text,predicted_text,metrics
69349,Byron,Byron,0.0
109407,"""","""",0.0
21738,the,the,0.0
45957,and,and,0.0
14776,slaughter,daughter,0.2222222222222222
55309,conductor,conductor,0.0
97250,that,that,0.0
38159,closing,claim,0.5714285714285714
4186,cent.,cent,0.2
30524,an,an,0.0
42590,in,in,0.0
110256,...,...,0.0
100251,eyes,eyes,0.0
12923,preparations,preparations,0.0
20821,those,those,0.0
72978,inspection,inspection,0.0
44639,are,are,0.0
12141,It,A,1.0
100004,you,you,0.0
15043,There,There,0.0
2752,a,a,0.0
42944,the,the,0.0
94436,people,people,0.0
35812,the,the,0.0
12193,limited,United,0.42857142857142855
6607,where,where,0.0
27256,little,little,0.0
97840,seen,seen,0.0
12412,tests,tests,0.0
71995,number,number,0.0
22814,and,and,0.0
81053,of,of,0.0
5472,of,of,0.0
39039,fine,fine,0.0
71163,the,the,0.0
49924,",",;,1.0
33796,creature,creature,0.0
114389,crowd,crowd,0.0
23720,sense,sense,0.0
61637,I,I,0.0
55667,a,a,0.0
49854,a,a,0.0
47500,blunt,blunt,0.0
33548,Baal-meon,hadmmenmen,0.7777777777777778
11900,as,as,0.0
17525,others,others,0.0
46270,largest,largest,0.0
18102,members,members,0.0
26982,Then,Then,0.0
14804,It,It,0.0
94422,or,or,0.0
104611,of,of,0.0
36576,my,my,0.0
49730,our,our,0.0
63189,well,well,0.0
1190,been,been,0.0
81734,So,so,0.5
100212,other,other,0.0
16598,consequences,consequences,0.0
8423,",",",",0.0
14085,by,by,0.0
27154,melodramatic,melodramatic,0.0
77727,over,over,0.0
6303,to,to,0.0
43361,different,different,0.0
93172,to,to,0.0
19265,Now,How,0.3333333333333333
74508,Other,Other,0.0
92971,like,like,0.0
63974,painful,painful,0.0
85931,?,?,0.0
70227,again,again,0.0
44398,",",",",0.0
49711,",",",",0.0
47078,?,?,0.0
76411,the,the,0.0
48752,of,of,0.0
22503,only,only,0.0
32761,the,the,0.0
17457,colours,virus,0.7142857142857143
94453,",",is,2.0
92178,and,and,0.0
72152,considered,considered,0.0
26802,on,on,0.0
96829,"""","""",0.0
96173,Advertiser,Federation,0.7
46147,theoretical,theoretical,0.0
64590,on,on,0.0
25444,she,she,0.0
57765,end,and,0.3333333333333333
37427,on,on,0.0
108056,'ll,he,1.0
86287,She,the,0.3333333333333333
68051,",",",",0.0
55872,that,that,0.0
27263,which,which,0.0
61205,',",",1.0
99624,had,had,0.0
36211,appear,appear,0.0
55771,to,to,0.0
11203,Verwoerd,revered,0.625
55706,new,new,0.0
45818,abandoned,abandoned,0.0
39108,-,-,0.0
75519,lack,such,0.75
43600,There,There,0.0
81026,reduction,reduction,0.0
31419,Irish,Irish,0.0
90278,a,a,0.0
40999,machine,machine,0.0
10407,",",a,1.0
41840,lumber,lumber,0.0
68628,that,that,0.0
80497,In,In,0.0
86172,had,had,0.0
17722,Cyprus,Cyprus,0.0
85266,Her,Her,0.0
69499,name,one,0.75
53217,were,were,0.0
111858,to,to,0.0
57168,be,be,0.0
73914,by,by,0.0
99467,from,from,0.0
106881,her,her,0.0
63412,search,search,0.0
2930,and,and,0.0
82305,see,ten,0.6666666666666666
77137,Research,Research,0.0
31103,on,on,0.0
62321,",",",",0.0
62382,happen,happen,0.0
60803,best,best,0.0
66061,that,that,0.0
24697,central,central,0.0
106382,Gavin,Gavin,0.0
9586,Gaitskell,Gaikll,0.3333333333333333
81697,'d,',0.5
76380,introduced,introduced,0.0
41670,very,very,0.0
67112,the,the,0.0
3454,the,the,0.0
111065,wasn't,wasnttt,0.3333333333333333
79717,and,and,0.0
35785,added,added,0.0
46477,the,the,0.0
69753,to,to,0.0
59018,to,to,0.0
17779,that,that,0.0
26283,power,power,0.0
11471,findings,findings,0.0
41709,only,only,0.0
95981,clips,clips,0.0
32532,Fourth,Gaulle,0.8333333333333334
1903,a,a,0.0
81732,?,?,0.0
974,conference,conference,0.0
114242,",",",",0.0
99885,being,being,0.0
59955,Rome,Rome,0.0
2832,than,these,0.75
77367,"""","""",0.0
102035,his,his,0.0
42201,moulds,mould,0.16666666666666666
44804,any,any,0.0
97401,sound,sound,0.0
77949,are,are,0.0
